time [s],current,current2,servo1.currentSetpoint,servo1.pid_current.output,setpwm,
3.12,3,-3748,0,0,0,
3.14,0,-3728,0,0,0,
3.16,-1,-3746,0,0,0,
3.18,0,-3779,0,0,0,
3.2,-16,-3800,0,0,0,
3.22,0,-3836,0,0,0,
3.24,-2,-3858,0,0,0,
3.26,-4,-3819,0,0,0,
3.28,4,-3851,0,0,0,
3.3,0,-3857,0,0,0,
3.32,-10,-3811,0,0,0,
3.34,1,-3813,0,0,0,
3.36,-4,-3816,0,0,0,
3.38,0,-3781,0,0,0,
3.4,0,-3815,0,0,0,
3.42,-3,-3805,0,0,0,
3.44,-1,-3760,0,0,0,
3.46,-7,-3697,0,0,0,
3.48,5,-3789,0,0,0,
3.5,-18,-3749,0,0,0,
3.52,-11,-3776,0,0,0,
3.54,7,-3852,0,0,0,
3.56,-6,-3769,0,0,0,
3.58,0,-3796,0,0,0,
3.6,-2,-3806,0,0,0,
3.62,-6,-3798,0,0,0,
3.64,-11,-3830,0,0,0,
3.66,-2,-3802,0,0,0,
3.68,3,-3796,0,0,0,
3.7,-1,-3798,0,0,0,
3.72,-14,-3777,0,0,0,
3.74,0,-3743,0,0,0,
3.76,-7,-3788,0,0,0,
3.78,-16,-3841,0,0,0,
3.8,-4,-3793,0,0,0,
3.82,-9,-3720,0,0,0,
3.84,-2,-3805,0,0,0,
3.86,-7,-3869,0,0,0,
3.88,1,-3829,0,0,0,
3.9,32,-3820,0,0,0,
3.92,-1,-3768,0,0,0,
3.94,-4,-3779,0,0,0,
3.96,-11,-3758,0,0,0,
3.98,0,-3757,0,0,0,
4,-15,-3822,0,0,0,
4.02,0,-3820,0,0,0,
4.04,-12,-3782,0,0,0,
4.06,-3,-3813,0,0,0,
4.08,-4,-3810,0,0,0,
4.1,-19,-3828,0,0,0,
4.12,2,-3786,0,0,0,
4.14,4,-3808,0,0,0,
4.16,-1,-3780,0,0,0,
4.18,-3,-3828,0,0,0,
4.2,-10,-3830,0,0,0,
4.22,-7,-3836,0,0,0,
4.24,-6,-3782,0,0,0,
4.26,2,-3816,0,0,0,
4.28,-2,-3829,0,0,0,
4.3,5,-3755,0,0,0,
4.32,-11,-3718,0,0,0,
4.34,-3,-3767,0,0,0,
4.36,1,-3833,0,0,0,
4.38,1,-3807,0,0,0,
4.4,-8,-3832,0,0,0,
4.42,2,-3780,0,0,0,
4.44,-9,-3837,0,0,0,
4.46,-7,-3843,0,0,0,
4.48,2,-3819,0,0,0,
4.5,-14,-3791,0,0,0,
4.52,-1,-3837,0,0,0,
4.54,-2,-3784,0,0,0,
4.56,-5,-3756,0,0,0,
4.58,4,-3751,0,0,0,
4.6,-3,-3772,0,0,0,
4.62,6,-3753,0,0,0,
4.64,4,-3774,0,0,0,
4.66,-12,-3752,0,0,0,
4.68,-5,-3756,0,0,0,
4.7,-13,-3728,0,0,0,
4.72,2,-3746,0,0,0,
4.74,-2,-3794,0,0,0,
4.76,-6,-3773,0,0,0,
4.78,1,-3834,0,0,0,
4.8,-5,-3826,0,0,0,
4.82,-8,-3728,0,0,0,
4.84,-2,-3775,0,0,0,
4.86,-2,-3752,0,0,0,
4.88,-11,-3754,0,0,0,
4.9,-10,-3760,0,0,0,
4.92,-8,-3844,0,0,0,
4.94,0,-3840,0,0,0,
4.96,-4,-3784,0,0,0,
4.98,-9,-3832,0,0,0,
5,-12,-3821,0,0,0,
5.02,-3,-3764,0,0,0,
5.04,0,-3710,0,0,0,
5.06,-18,-3720,0,0,0,
5.08,-10,-3738,0,0,0,
5.1,-5,-3819,0,0,0,
5.12,1,-3832,0,0,0,
5.14,-2,-3817,0,0,0,
5.16,-6,-3869,0,0,0,
5.18,-18,-3790,0,0,0,
5.2,-5,-3762,0,0,0,
5.22,-1,-3812,0,0,0,
5.24,-12,-3828,0,0,0,
5.26,-8,-3781,0,0,0,
5.28,3,-3820,0,0,0,
5.3,-4,-3725,0,0,0,
5.32,-8,-3838,0,0,0,
5.34,3,-3791,0,0,0,
5.36,-6,-3798,0,0,0,
5.38,-4,-3802,0,0,0,
5.4,-4,-3778,0,0,0,
5.42,-20,-3834,0,0,0,
5.44,-20,-3821,0,0,0,
5.46,-15,-3795,0,0,0,
5.48,-16,-3834,0,0,0,
5.5,5,-3746,0,0,0,
5.52,-9,-3796,0,0,0,
5.54,-4,-3803,0,0,0,
5.56,-3,-3794,0,0,0,
5.58,1,-3778,0,0,0,
5.6,-8,-3739,0,0,0,
5.62,3,-3806,0,0,0,
5.64,-11,-3814,0,0,0,
5.66,-2,-3794,0,0,0,
5.68,-15,-3790,0,0,0,
5.7,-14,-3801,0,0,0,
5.72,-3,-3794,0,0,0,
5.74,4,-3853,0,0,0,
5.76,-5,-3868,0,0,0,
5.78,-9,-3840,0,0,0,
5.8,-13,-3763,0,0,0,
5.82,-5,-3744,0,0,0,
5.84,-1,-3773,0,0,0,
5.86,-12,-3765,0,0,0,
5.88,0,-3779,0,0,0,
5.9,-2,-3782,0,0,0,
5.92,-4,-3786,0,0,0,
5.94,-18,-3723,0,0,0,
5.96,28,-3753,0,0,0,
5.98,-12,-3748,0,0,0,
6,2,-3803,0,0,0,
6.02,0,-3842,0,0,0,
6.04,-7,-3847,0,0,0,
6.06,-5,-3854,0,0,0,
6.08,1,-3770,0,0,0,
6.1,-1,-3716,0,0,0,
6.12,2,-3792,0,0,0,
6.14,-19,-3841,0,0,0,
6.16,-8,-3892,0,0,0,
6.18,-14,-3794,0,0,0,
6.2,-5,-3884,0,0,0,
6.22,-18,-3789,0,0,0,
6.24,-7,-3755,0,0,0,
6.26,2,-3816,0,0,0,
6.28,-5,-3737,0,0,0,
6.3,-20,-3714,0,0,0,
6.32,-8,-3766,0,0,0,
6.34,-3,-3779,0,0,0,
6.36,-7,-3776,0,0,0,
6.38,0,-3807,0,0,0,
6.4,51,-3790,0,0,0,
6.42,-16,-3800,0,0,0,
6.44,-15,-3883,0,0,0,
6.46,-12,-3856,0,0,0,
6.48,3,-3856,0,0,0,
6.5,1,-3821,0,0,0,
6.52,-19,-3817,0,0,0,
6.54,-4,-3800,0,0,0,
6.56,-2,-3824,0,0,0,
6.58,-12,-3898,0,0,0,
6.6,1,-3847,0,0,0,
6.62,0,-3805,0,0,0,
6.64,-21,-3797,0,0,0,
6.66,-5,-3777,0,0,0,
6.68,-22,-3860,0,0,0,
6.7,-14,-3803,0,0,0,
6.72,-2,-3790,0,0,0,
6.74,1,-3764,0,0,0,
6.76,-5,-3756,0,0,0,
6.78,-14,-3747,0,0,0,
6.8,-1,-3783,0,0,0,
6.82,-12,-3772,0,0,0,
6.84,-12,-3802,0,0,0,
6.86,0,-3761,0,0,0,
6.88,3,-3806,0,0,0,
6.9,-8,-3841,0,0,0,
6.92,-2,-3823,0,0,0,
6.94,-3,-3813,0,0,0,
6.96,1,-3802,0,0,0,
6.98,-13,-3802,0,0,0,
7,3,-3746,0,0,0,
7.02,-10,-3784,0,0,0,
7.04,-13,-3798,0,0,0,
7.06,-16,-3794,0,0,0,
7.08,-14,-3812,0,0,0,
7.1,-25,-3758,0,0,0,
7.12,-13,-3846,0,0,0,
7.14,-8,-3809,0,0,0,
7.16,-18,-3800,0,0,0,
7.18,-4,-3781,0,0,0,
7.2,-5,-3778,0,0,0,
7.22,-11,-3756,0,0,0,
7.24,5,-3786,0,0,0,
7.26,-15,-3842,0,0,0,
7.28,4,-3834,0,0,0,
7.3,-6,-3807,0,0,0,
7.32,-5,-3841,0,0,0,
7.34,-18,-3779,0,0,0,
7.36,-4,-3812,0,0,0,
7.38,-3,-3809,0,0,0,
7.4,-3,-3751,0,0,0,
7.42,2,-3803,0,0,0,
7.44,4,-3837,0,0,0,
7.46,-6,-3817,0,0,0,
7.48,3,-3791,0,0,0,
7.5,-28,-3837,0,0,0,
7.52,-23,-3797,0,0,0,
7.54,3,-3798,0,0,0,
7.56,6,-3828,0,0,0,
7.58,-8,-3747,0,0,0,
7.6,-7,-3678,0,0,0,
7.62,-8,-3722,0,0,0,
7.64,-3,-3791,0,0,0,
7.66,-6,-3788,0,0,0,
7.68,1,-3840,0,0,0,
7.7,-4,-3750,0,0,0,
7.72,-1,-3748,0,0,0,
7.74,0,-3773,0,0,0,
7.76,-8,-3802,0,0,0,
7.78,-14,-3795,0,0,0,
7.8,-5,-3793,0,0,0,
7.82,-7,-3764,0,0,0,
7.84,2,-3808,0,0,0,
7.86,-13,-3797,0,0,0,
7.88,-3,-3787,0,0,0,
7.9,-9,-3807,0,0,0,
7.92,-1,-3802,0,0,0,
7.94,-7,-3807,0,0,0,
7.96,-10,-3794,0,0,0,
7.98,-7,-3782,0,0,0,
8,-1,-3755,0,0,0,
8.02,-1,-3799,0,0,0,
8.04,-4,0,0,0,0,
8.06,-5,0,0,0,0,
8.08,-11,0,0,0,0,
8.1,0,0,0,0,0,
8.12,-13,0,0,0,0,
8.14,-1,0,0,0,0,
8.16,-5,0,0,0,0,
8.18,1,0,0,0,0,
8.2,-2,0,0,0,0,
8.22,-3,0,0,0,0,
