time [s],current,servo1.currentSetpoint,setpwm,
5e-07,0,0,0,
0.0031529,0,0,0,
0.00614,0,0,0,
0.0088632,0,0,0,
0.0118948,0,0,0,
0.0149654,0,0,0,
0.0180269,0,0,0,
0.0209571,0,0,0,
0.0237054,0,0,0,
0.0267405,0,0,0,
0.0299203,0,0,0,
0.0331298,0,0,0,
0.0363011,0,0,0,
0.0391379,0,0,0,
0.0421486,0,0,0,
0.0451367,0,0,0,
0.0482911,0,0,0,
0.0512341,0,0,0,
0.0542294,0,0,0,
0.0575765,0,0,0,
0.0605579,0,0,0,
0.0635009,0,0,0,
0.0663071,0,0,0,
0.0694515,0,0,0,
0.0723926,0,0,0,
0.0757162,0,0,0,
0.078749,0,0,0,
0.0817895,0,0,0,
0.0851403,0,0,0,
0.0879378,0,0,0,
0.0907172,0,0,0,
0.0938651,0,0,0,
0.0971529,0,0,0,
0.100162,0,0,0,
0.102994,0,0,0,
0.105795,0,0,0,
0.109131,0,0,0,
0.112125,0,0,0,
0.11513,0,0,0,
0.118163,0,0,0,
0.121041,0,0,0,
0.124672,0,0,0,
0.127479,0,0,0,
0.130638,0,0,0,
0.133333,0,0,0,
0.137194,0,0,0,
0.140184,0,0,0,
0.14293,0,0,0,
0.14584,0,0,0,
0.149138,0,0,0,
0.152132,0,0,0,
0.154978,0,0,0,
0.157929,0,0,0,
0.160799,0,0,0,
0.163657,0,0,0,
0.166791,0,0,0,
0.169805,0,0,0,
0.172766,0,0,0,
0.175507,0,0,0,
0.178166,0,0,0,
0.181415,0,0,0,
0.184349,0,0,0,
0.187673,0,0,0,
0.190656,0,0,0,
0.193572,0,0,0,
0.196474,0,0,0,
0.199153,0,0,0,
0.203323,0,0,0,
0.206361,0,0,0,
0.209146,0,0,0,
0.212174,0,0,0,
0.215279,0,0,0,
0.218274,0,0,0,
0.221507,0,0,0,
0.22479,0,0,0,
0.227478,0,0,0,
0.23118,0,0,0,
0.234037,0,0,0,
0.236827,0,0,0,
0.239699,0,0,0,
0.242639,0,0,0,
0.245626,0,0,0,
0.248592,0,0,0,
0.251321,0,0,0,
0.254323,0,0,0,
0.258037,0,0,0,
0.261028,0,0,0,
0.264239,0,0,0,
0.266979,0,0,0,
0.270027,0,0,0,
0.272818,0,0,0,
0.276137,0,0,0,
0.279146,0,0,0,
0.282173,0,0,0,
0.285181,0,0,0,
0.287986,0,0,0,
0.291031,0,0,0,
0.294017,0,0,0,
0.297676,0,0,0,
0.300694,0,0,0,
0.303657,0,0,0,
0.306587,0,0,0,
0.311083,0,0,0,
0.314165,0,0,0,
0.317157,0,0,0,
0.319901,0,0,0,
0.32354,0,0,0,
0.327261,0,0,0,
0.330019,0,0,0,
0.33285,0,0,0,
0.336033,0,0,0,
0.339318,0,0,0,
0.342296,0,0,0,
0.344938,0,0,0,
0.348378,0,0,0,
0.351262,0,0,0,
0.354482,0,0,0,
0.357501,0,0,0,
0.360462,0,0,0,
0.363429,0,0,0,
0.366495,0,0,0,
0.369418,0,0,0,
0.372356,0,0,0,
0.375337,0,0,0,
0.378588,0,0,0,
0.381553,0,0,0,
0.384531,0,0,0,
0.387502,0,0,0,
0.390804,0,0,0,
0.393842,0,0,0,
0.396517,0,0,0,
0.399697,0,0,0,
0.403142,0,0,0,
0.406031,0,0,0,
0.409359,0,0,0,
0.412185,0,0,0,
0.415766,0,0,0,
0.418938,0,0,0,
0.421902,0,0,0,
0.424662,0,0,0,
0.427475,0,0,0,
0.43058,0,0,0,
0.433794,0,0,0,
0.436759,0,0,0,
0.439666,0,0,0,
0.44294,0,0,0,
0.44616,0,0,0,
0.449425,0,0,0,
0.452811,0,0,0,
0.456509,0,0,0,
0.459725,0,0,0,
0.46269,0,0,0,
0.465807,0,0,0,
0.469004,0,0,0,
0.471699,0,0,0,
0.474838,0,0,0,
0.477646,0,0,0,
0.480932,0,0,0,
0.484156,0,0,0,
0.487152,0,0,0,
0.49,0,0,0,
0.492758,0,0,0,
0.496168,0,0,0,
0.499256,0,0,0,
0.502175,0,0,0,
0.505162,0,0,0,
0.508225,0,0,0,
0.511875,0,0,0,
0.514787,0,0,0,
0.517661,0,0,0,
0.520599,0,0,0,
0.52439,0,0,0,
0.528161,0,0,0,
0.531145,0,0,0,
0.534004,0,0,0,
0.537018,0,0,0,
0.540036,0,0,0,
0.543178,0,0,0,
0.546034,0,0,0,
0.549143,0,0,0,
0.552495,0,0,0,
0.555435,0,0,0,
0.558678,0,0,0,
0.56198,0,0,0,
0.565145,0,0,0,
0.567999,0,0,0,
0.571031,0,0,0,
0.57403,0,0,0,
0.577018,0,0,0,
0.580331,0,0,0,
0.583369,0,0,0,
0.586272,0,0,0,
0.589591,0,0,0,
0.592592,0,0,0,
0.595655,0,0,0,
0.598334,0,0,0,
0.601553,0,0,0,
0.604758,0,0,0,
0.60766,0,0,0,
0.610806,0,0,0,
0.613644,0,0,0,
0.616671,0,0,0,
0.619866,0,0,0,
0.622981,0,0,0,
0.625681,0,0,0,
0.629185,0,0,0,
0.632363,0,0,0,
0.635841,0,0,0,
0.638766,0,0,0,
0.641893,0,0,0,
0.645343,0,0,0,
0.648261,0,0,0,
